الفئة العمرية,السعوديون,الوافدون,السعوديون النساء,السعوديون الرجال,الوافدون النساء,الوافدون الرجال,عدد العاملين
15-19,64235,1847,21056,43179,210,1637,66082
20-24,395502,892691,138703,256799,38135,854556,1288193
25-29,559237,1862916,235382,323855,100940,1761976,2422153
30-34,500666,1734804,216936,283730,96989,1637815,2235470
35-39,356386,1852639,154836,201550,86630,1766009,2209025
40-44,249646,1517105,108994,140652,57704,1459401,1766751
45-49,154520,1005998,63786,90734,30327,975671,1160518
50-54,90944,578616,38496,52448,16547,562069,669560
55-59,65984,401985,26918,39066,10733,391252,467969
64-60,27346,218369,10909,16437,5590,212779,245715
65+,13840,167775,5124,8716,4785,162990,181615
Grand Total,2478306,10234745,1021140,1457166,448590,9786155,12713051
